,Year,StateCode,MSN,Data,Unit,rate
4720,1960,AZ,BMTCB,4012.94849,Billion Btu,0.013459694208078795
4725,1965,AZ,BMTCB,3695.21696,Billion Btu,0.01001138353293221
4730,1970,AZ,BMTCB,4339.3804,Billion Btu,0.008765530356894395
4735,1975,AZ,BMTCB,5413.77876,Billion Btu,0.008402778670677402
4740,1980,AZ,BMTCB,17835.00581,Billion Btu,0.021230426653998612
4745,1985,AZ,BMTCB,25557.79475,Billion Btu,0.026085692340876248
4750,1990,AZ,BMTCB,13740.58609,Billion Btu,0.012115802656118023
4755,1995,AZ,BMTCB,16653.19869,Billion Btu,0.01312602758847658
4760,2000,AZ,BMTCB,13603.41768,Billion Btu,0.00865441758817045
4765,2005,AZ,BMTCB,25121.70525,Billion Btu,0.014802659626862924
4769,2009,AZ,BMTCB,35412.81309,Billion Btu,0.02041115753207314
4770,1960,CA,BMTCB,82097.53052,Billion Btu,0.023820154384020326
4775,1965,CA,BMTCB,97487.844,Billion Btu,0.022172229980138795
4780,1970,CA,BMTCB,116838.7983,Billion Btu,0.021726525770629748
4785,1975,CA,BMTCB,127489.4036,Billion Btu,0.02261878301770523
4790,1980,CA,BMTCB,115610.0496,Billion Btu,0.018914592473680887
4795,1985,CA,BMTCB,167092.6847,Billion Btu,0.028208461234223693
4800,1990,CA,BMTCB,222588.6624,Billion Btu,0.03301035308020601
4805,1995,CA,BMTCB,181976.7564,Billion Btu,0.02713614463726814
4810,2000,CA,BMTCB,164988.6785,Billion Btu,0.022838079402966945
4815,2005,CA,BMTCB,225495.2407,Billion Btu,0.03066380328529446
4819,2009,CA,BMTCB,224662.5224,Billion Btu,0.03210834934058006
4820,1960,NM,BMTCB,6627.60303,Billion Btu,0.02033360596154181
4825,1965,NM,BMTCB,5626.92142,Billion Btu,0.013954299112154775
4830,1970,NM,BMTCB,4857.5794,Billion Btu,0.00877978617663145
4835,1975,NM,BMTCB,5342.7819,Billion Btu,0.008997208617515866
4840,1980,NM,BMTCB,5245.14218,Billion Btu,0.008169616510850752
4845,1985,NM,BMTCB,9184.80922,Billion Btu,0.014593050288668648
4850,1990,NM,BMTCB,5892.26845,Billion Btu,0.007879317392025789
4855,1995,NM,BMTCB,6322.92408,Billion Btu,0.008881855882285869
4860,2000,NM,BMTCB,7323.19479,Billion Btu,0.008927798758730832
4865,2005,NM,BMTCB,13020.14274,Billion Btu,0.01578847683261591
4869,2009,NM,BMTCB,17295.22312,Billion Btu,0.020681776045570862
4870,1960,TX,BMTCB,38296.32121,Billion Btu,0.008620317620096742
4875,1965,TX,BMTCB,41195.86221,Billion Btu,0.00797042368738658
4880,1970,TX,BMTCB,52206.96065,Billion Btu,0.0077155513521170015
4885,1975,TX,BMTCB,55819.63573,Billion Btu,0.007550020982314689
4890,1980,TX,BMTCB,55647.5248,Billion Btu,0.006102870828161246
4895,1985,TX,BMTCB,81665.57669,Billion Btu,0.009324192956264635
4900,1990,TX,BMTCB,98023.52176,Billion Btu,0.00989723787776401
4905,1995,TX,BMTCB,103692.7819,Billion Btu,0.009725122282889508
4910,2000,TX,BMTCB,87162.14782,Billion Btu,0.00724158055822188
4915,2005,TX,BMTCB,81539.61821,Billion Btu,0.007112366246907651
4919,2009,TX,BMTCB,148263.5744,Billion Btu,0.013242020921896863
11880,1960,AZ,CLTCB,209.57935,Billion Btu,0.0007029429783007054
11885,1965,AZ,CLTCB,7030.44355,Billion Btu,0.01904745175928167
11890,1970,AZ,CLTCB,8622.9298,Billion Btu,0.017418282326036528
11895,1975,AZ,CLTCB,92448.56979,Billion Btu,0.14349032437484444
11900,1980,AZ,CLTCB,244994.3448,Billion Btu,0.29163626428450523
11905,1985,AZ,CLTCB,342012.7337,Billion Btu,0.34907702465058094
11910,1990,AZ,CLTCB,343414.509,Billion Btu,0.3028067647943878
11915,1995,AZ,CLTCB,342889.3714,Billion Btu,0.2702649162226378
11920,2000,AZ,CLTCB,432810.0454,Billion Btu,0.2753513093076335
11925,2005,AZ,CLTCB,428444.8054,Billion Btu,0.2524558966089184
11929,2009,AZ,CLTCB,413259.9226,Billion Btu,0.23819382437773323
11930,1960,CA,CLTCB,35903.06676,Billion Btu,0.010417080607249773
11935,1965,CA,CLTCB,63692.80664,Billion Btu,0.014486027169731967
11940,1970,CA,CLTCB,61811.50474,Billion Btu,0.011494035116715274
11945,1975,CA,CLTCB,56405.23,Billion Btu,0.01000724469961955
11950,1980,CA,CLTCB,66169.6168,Billion Btu,0.010825800527220156
11955,1985,CA,CLTCB,45264.37754,Billion Btu,0.007641498138717473
11960,1990,CA,CLTCB,84159.70697,Billion Btu,0.012481056367614771
11965,1995,CA,CLTCB,84323.12291,Billion Btu,0.012574157847512323
11970,2000,CA,CLTCB,70011.69418,Billion Btu,0.009691165753649447
11975,2005,CA,CLTCB,67422.33819,Billion Btu,0.009168376719947137
11979,2009,CA,CLTCB,52403.09775,Billion Btu,0.007489353146715872
11980,1960,NM,CLTCB,4064.49554,Billion Btu,0.01246994582637278
11985,1965,NM,CLTCB,44277.1291,Billion Btu,0.1098036132320633
11990,1970,NM,CLTCB,99380.42098,Billion Btu,0.1796242067289766
11995,1975,NM,CLTCB,132535.212,Billion Btu,0.2231884014450772
12000,1980,NM,CLTCB,202870.412,Billion Btu,0.31598256263823427
12005,1985,NM,CLTCB,268374.4625,Billion Btu,0.4263999320670614
12010,1990,NM,CLTCB,275661.3811,Billion Btu,0.3686226336838199
12015,1995,NM,CLTCB,275216.5085,Billion Btu,0.38659856325886865
12020,2000,NM,CLTCB,305512.8733,Billion Btu,0.3724545815370876
12025,2005,NM,CLTCB,317916.0977,Billion Btu,0.38551120701861874
12029,2009,NM,CLTCB,306161.5315,Billion Btu,0.366110583501509
12030,1960,TX,CLTCB,24973.50023,Billion Btu,0.005621414727740086
12035,1965,TX,CLTCB,29182.3709,Billion Btu,0.005646097636936942
12040,1970,TX,CLTCB,30766.97153,Billion Btu,0.004546982736273056
12045,1975,TX,CLTCB,196171.6773,Billion Btu,0.02653367870250819
12050,1980,TX,CLTCB,734144.6213,Billion Btu,0.08051373010903902
12055,1985,TX,CLTCB,1148998.132,Billion Btu,0.13118722383879886
12060,1990,TX,CLTCB,1333670.519,Billion Btu,0.1346580304411212
12065,1995,TX,CLTCB,1364800.239,Billion Btu,0.12800166967062368
12070,2000,TX,CLTCB,1548184.286,Billion Btu,0.12862580267290877
12075,2005,TX,CLTCB,1627863.257,Billion Btu,0.1419918309385466
12079,2009,TX,CLTCB,1497854.311,Billion Btu,0.13377944113706333
33092,1960,AZ,GETCB,0.0,Billion Btu,0.0
33097,1965,AZ,GETCB,0.0,Billion Btu,0.0
33102,1970,AZ,GETCB,0.0,Billion Btu,0.0
33107,1975,AZ,GETCB,0.0,Billion Btu,0.0
33112,1980,AZ,GETCB,0.0,Billion Btu,0.0
33117,1985,AZ,GETCB,0.0,Billion Btu,0.0
33122,1990,AZ,GETCB,235.70453,Billion Btu,0.00020783317042868949
33127,1995,AZ,GETCB,236.85549,Billion Btu,0.00018668916128941824
33132,2000,AZ,GETCB,286.2,Billion Btu,0.00018207882548339002
33137,2005,AZ,GETCB,282.94431,Billion Btu,0.0001667214973110787
33141,2009,AZ,GETCB,329.09862,Billion Btu,0.00018968512214311285
33142,1960,CA,GETCB,359.03968,Billion Btu,0.00010417342097160627
33147,1965,CA,GETCB,1977.85394,Billion Btu,0.00044983487812904797
33152,1970,CA,GETCB,5511.2704,Billion Btu,0.001024837298198307
33157,1975,CA,GETCB,33779.66583,Billion Btu,0.005993085780027617
33162,1980,CA,GETCB,52699.14465,Billion Btu,0.008621939426676887
33167,1985,CA,GETCB,96079.59621,Billion Btu,0.016220085098014172
33172,1990,CA,GETCB,152147.484,Billion Btu,0.02256378250784167
33177,1995,CA,GETCB,120056.8554,Billion Btu,0.017902727014591332
33182,2000,CA,GETCB,127599.7127,Billion Btu,0.01766262022905026
33187,2005,CA,GETCB,132375.377,Billion Btu,0.01800096759268185
33191,2009,CA,GETCB,127461.1205,Billion Btu,0.01821650598700734
33192,1960,NM,GETCB,0.0,Billion Btu,0.0
33197,1965,NM,GETCB,0.0,Billion Btu,0.0
33202,1970,NM,GETCB,0.0,Billion Btu,0.0
33207,1975,NM,GETCB,0.0,Billion Btu,0.0
33212,1980,NM,GETCB,0.0,Billion Btu,0.0
33217,1985,NM,GETCB,0.0,Billion Btu,0.0
33222,1990,NM,GETCB,117.28053,Billion Btu,0.00015683102825618923
33227,1995,NM,GETCB,158.53529,Billion Btu,0.00022269563578824374
33232,2000,NM,GETCB,687.9,Billion Btu,0.0008386275310493195
33237,2005,NM,GETCB,690.1241,Billion Btu,0.0008368578272959782
33241,2009,NM,GETCB,317.06702,Billion Btu,0.0003791514601215817
33242,1960,TX,GETCB,0.0,Billion Btu,0.0
33247,1965,TX,GETCB,0.0,Billion Btu,0.0
33252,1970,TX,GETCB,0.0,Billion Btu,0.0
33257,1975,TX,GETCB,0.0,Billion Btu,0.0
33262,1980,TX,GETCB,0.0,Billion Btu,0.0
33267,1985,TX,GETCB,0.0,Billion Btu,0.0
33272,1990,TX,GETCB,236.37632,Billion Btu,2.3866441704047448e-05
33277,1995,TX,GETCB,370.3163,Billion Btu,3.473116676839004e-05
33282,2000,TX,GETCB,562.0,Billion Btu,4.66919227613028e-05
33287,2005,TX,GETCB,1161.03664,Billion Btu,0.0001012724610568062
33291,2009,TX,GETCB,2057.02446,Billion Btu,0.00018372119413960112
34212,1960,AZ,HYEGB,32168.50488,Billion Btu,0.10789528943489889
34217,1965,AZ,HYEGB,46399.81125,Billion Btu,0.12571015756525772
34222,1970,AZ,HYEGB,64439.24652,Billion Btu,0.13016700991377975
34227,1975,AZ,HYEGB,75334.5908,Billion Btu,0.11692755112483579
34232,1980,AZ,HYEGB,102013.5153,Billion Btu,0.12143480508870187
34237,1985,AZ,HYEGB,145963.8229,Billion Btu,0.14897871331670925
34242,1990,AZ,HYEGB,77157.62555,Billion Btu,0.06803396583343628
34247,1995,AZ,HYEGB,85470.17673,Billion Btu,0.06736747207751888
34252,2000,AZ,HYEGB,85221.35742,Billion Btu,0.05421734683834307
34257,2005,AZ,HYEGB,64094.23194,Billion Btu,0.03776674752017585
34261,2009,AZ,HYEGB,62730.8872,Billion Btu,0.03615668762353921
34262,1960,CA,HYEGB,187703.853,Billion Btu,0.054461257587354976
34267,1965,CA,HYEGB,319051.8179,Billion Btu,0.07256381915739325
34272,1970,CA,HYEGB,399627.9851,Billion Btu,0.07431202514293568
34277,1975,CA,HYEGB,417308.8107,Billion Btu,0.07403766253558602
34282,1980,CA,HYEGB,423618.4329,Billion Btu,0.06930686432853872
34287,1985,CA,HYEGB,331348.1572,Billion Btu,0.05593794644085731
34292,1990,CA,HYEGB,247413.0471,Billion Btu,0.036691860013713974
34297,1995,CA,HYEGB,495276.7701,Billion Btu,0.07385504794563202
34302,2000,CA,HYEGB,390961.0574,Billion Btu,0.05411765069910004
34307,2005,CA,HYEGB,396224.7832,Billion Btu,0.05388033366507875
34311,2009,CA,HYEGB,272184.017,Billion Btu,0.038900032855495
34312,1960,NM,HYEGB,745.4528,Billion Btu,0.00228706267251013
34317,1965,NM,HYEGB,447.98422,Billion Btu,0.0011109637645171434
34322,1970,NM,HYEGB,690.03297,Billion Btu,0.0012471935984054
34327,1975,NM,HYEGB,659.5635,Billion Btu,0.0011107004772174822
34332,1980,NM,HYEGB,977.49002,Billion Btu,0.0015224980243688706
34337,1985,NM,HYEGB,1336.18175,Billion Btu,0.002122958354985982
34342,1990,NM,HYEGB,2136.93487,Billion Btu,0.002857573145164045
34347,1995,NM,HYEGB,2721.54304,Billion Btu,0.0038229706308158247
34352,2000,NM,HYEGB,2255.97155,Billion Btu,0.002750283254970209
34357,2005,NM,HYEGB,1649.76501,Billion Btu,0.002000536949539261
34361,2009,NM,HYEGB,2644.59888,Billion Btu,0.0031624340077624586
34362,1960,TX,HYEGB,11858.66056,Billion Btu,0.0026693274274454597
34367,1965,TX,HYEGB,7770.917,Billion Btu,0.0015034883992421982
34372,1970,TX,HYEGB,10549.85956,Billion Btu,0.0015591404322213207
34377,1975,TX,HYEGB,19997.35588,Billion Btu,0.0027047911458094715
34382,1980,TX,HYEGB,10171.1505,Billion Btu,0.0011154713151821565
34387,1985,TX,HYEGB,14635.59929,Billion Btu,0.0016710241614841855
34392,1990,TX,HYEGB,18657.28725,Billion Btu,0.0018837887759137327
34397,1995,TX,HYEGB,17564.92458,Billion Btu,0.0016473763776052345
34402,2000,TX,HYEGB,8456.25156,Billion Btu,0.0007025598659958476
34407,2005,TX,HYEGB,13324.26754,Billion Btu,0.0011622211729296647
34411,2009,TX,HYEGB,10039.69525,Billion Btu,0.0008966858858487669
62732,1960,AZ,NGTCB,140274.585,Billion Btu,0.470490220338003
62737,1965,AZ,NGTCB,166063.384,Billion Btu,0.44991248037587434
62742,1970,AZ,NGTCB,204382.7089,Billion Btu,0.4128522217796947
62747,1975,AZ,NGTCB,164345.6261,Billion Btu,0.25508244478246894
62752,1980,AZ,NGTCB,173977.1714,Billion Btu,0.20709887152416045
62757,1985,AZ,NGTCB,137315.0258,Billion Btu,0.1401512748590441
62762,1990,AZ,NGTCB,130781.2465,Billion Btu,0.11531675310911907
62767,1995,AZ,NGTCB,127944.6977,Billion Btu,0.10084582926509814
62772,2000,AZ,NGTCB,208137.0766,Billion Btu,0.13241563398628367
62777,2005,AZ,NGTCB,329301.673,Billion Btu,0.19403701028518025
62781,2009,AZ,NGTCB,376674.7907,Billion Btu,0.2171069683676005
